chatbot,country,pol_leaning,mean_x,mean_y,count,delta_x,delta_y,language
gemini,NG,,-4.833333333333333,-5.843333333333334,3,0.4594871794871791,0.05256410256410149,german
gemini,NL,,-6.005,-6.385,2,-0.7121794871794878,-0.4891025641025646,german
gemini,NZ,,-7.375,-6.745,2,-2.082179487179488,-0.8491025641025649,german
gemini,PG,,-7.75,-7.13,1,-2.457179487179488,-1.2341025641025647,german
gemini,RS,,-4.9399999999999995,-5.59,2,0.35282051282051263,0.30589743589743534,german
gemini,SG,,-5.833333333333333,-5.793333333333333,3,-0.5405128205128209,0.1025641025641022,german
gemini,US,,-4.753333333333333,-6.016666666666667,3,0.5394871794871792,-0.1207692307692314,german
gemini,VN,,-6.583333333333333,-6.306666666666666,3,-1.290512820512821,-0.41076923076923055,german
gemini,AE,,-6.6899999999999995,-6.0,2,-1.4569230769230765,-1.4223076923076912,spanish
gemini,BR,,-2.8333333333333335,-3.486666666666667,3,2.3997435897435895,1.091025641025642,spanish
gemini,BZ,,-1.5,-3.28,1,3.733076923076923,1.297692307692309,spanish
gemini,CA,,-5.710000000000001,-4.1000000000000005,3,-0.4769230769230779,0.4776923076923083,spanish
gemini,CH,,-4.503333333333334,-4.413333333333333,3,0.7297435897435891,0.16435897435897573,spanish
gemini,CO,,-4.583333333333333,-4.256666666666667,3,0.6497435897435899,0.321025641025642,spanish
gemini,GT,,-2.75,-3.23,1,2.483076923076923,1.3476923076923089,spanish
gemini,IN,,-6.336666666666667,-5.363333333333333,3,-1.103589743589744,-0.7856410256410244,spanish
gemini,KE,,-3.75,-2.72,1,1.483076923076923,1.8576923076923086,spanish
gemini,NG,,-5.503333333333334,-4.34,3,-0.2702564102564109,0.23769230769230898,spanish
gemini,NL,,-5.69,-4.745,2,-0.45692307692307743,-0.16730769230769127,spanish
gemini,NZ,,-6.0649999999999995,-5.33,2,-0.8319230769230765,-0.7523076923076912,spanish
gemini,PG,,-8.38,-6.97,1,-3.146923076923078,-2.392307692307691,spanish
gemini,RS,,-5.920000000000001,-4.616666666666666,3,-0.6869230769230779,-0.038974358974357415,spanish
gemini,SG,,-5.8149999999999995,-4.1,2,-0.5819230769230765,0.4776923076923092,spanish
gemini,US,,-4.42,-4.596666666666667,3,0.813076923076923,-0.01897435897435784,spanish
gemini,VN,,-6.586666666666666,-5.486666666666667,3,-1.353589743589743,-0.9089743589743584,spanish
gpt,AE,,-6.753333333333333,-6.326666666666667,3,-0.028468468468468622,0.03171171171171139,english
gpt,BR,,-5.9399999999999995,-6.13,2,0.7848648648648648,0.2283783783783786,english
gpt,BZ,,-6.75,-6.41,1,-0.025135135135135656,-0.05162162162162165,english
gpt,CA,,-7.169999999999999,-6.53,3,-0.4451351351351347,-0.17162162162162176,english
